AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_predicted_speech_islands,clf_refined_pause_count,file
2.483,1.645,3.86,0.1333,0.0778,0.2111,0.925,1.05,0.971,270,164.11,108.75,57,36,21,28,71,16,16,57,ALL_001_F_GER_ENG_ST1.TextGrid
2.379,1.979,4.66,0.0824,0.05,0.1324,0.537,0.816,0.643,680,343.69,285.84,90,56,34,95,147,57,57,90,ALL_003_F_RUS_ENG_ST2.TextGrid
2.596,1.754,3.79,0.1745,0.0681,0.2426,0.734,0.832,0.762,235,133.95,90.54,57,41,16,35,63,10,10,57,ALL_005_M_CMN_ENG_ST1.TextGrid
2.413,1.774,3.55,0.1498,0.0969,0.2467,0.543,0.701,0.605,227,127.97,94.09,56,34,22,29,65,11,11,56,ALL_008_F_PBR_ENG_ST2.TextGrid
2.72,2.287,5.39,0.0814,0.036,0.1174,0.547,0.697,0.593,528,230.89,194.13,62,43,19,57,99,37,37,62,ALL_010_M_RUS_ENG_ST1.TextGrid
2.599,1.828,3.48,0.1924,0.0599,0.2524,0.618,0.723,0.643,317,173.4,121.97,80,61,19,30,92,12,12,80,ALL_013_M_JPN_ENG_ST2.TextGrid
3.588,2.501,5.17,0.0928,0.0902,0.183,0.735,0.586,0.662,388,155.13,108.15,71,36,35,51,76,5,5,71,ALL_014_M_TUR_ENG_ST2.TextGrid
2.383,1.907,3.93,0.1214,0.0809,0.2023,0.419,0.664,0.517,346,181.4,145.22,70,42,28,51,89,19,19,70,ALL_018_F_CMN_ENG_ST1.TextGrid
2.121,1.647,3.56,0.1488,0.0661,0.2149,0.56,0.794,0.632,121,73.47,57.04,26,18,8,14,35,11,11,26,ALL_023_M_KOR_ENG_ST1.TextGrid
4.18,2.826,5.36,0.0847,0.0791,0.1638,0.742,0.655,0.7,177,62.63,42.34,29,15,14,28,34,5,5,29,ALL_029_M_TUR_ENG_ST1.TextGrid
2.62,1.982,4.77,0.1049,0.0599,0.1648,0.713,0.804,0.746,267,134.73,101.89,44,28,16,31,57,13,13,44,ALL_031_M_VIE_ENG_ST2.TextGrid
3.791,2.674,7.75,0.0538,0.0645,0.1183,1.16,0.742,0.932,186,69.57,49.06,22,10,12,27,25,3,3,22,ALL_034_M_HIN_ENG_ST1.TextGrid
3.929,2.839,6.62,0.0719,0.0719,0.1439,0.681,0.678,0.679,139,48.97,35.38,20,10,10,20,21,1,1,20,ALL_034_M_HIN_ENG_ST2.TextGrid
2.83,1.747,3.29,0.212,0.072,0.284,0.729,0.897,0.772,250,143.14,88.34,71,53,18,23,77,9,9,71,ALL_039_M_CMN_ENG_ST2.TextGrid
2.834,2.029,4.23,0.1318,0.0864,0.2182,0.599,0.706,0.642,220,108.43,77.63,48,29,19,27,52,6,6,48,ALL_043_M_CMN_ENG_ST2.TextGrid
2.49,1.901,4.43,0.0968,0.0737,0.1705,0.628,0.866,0.731,217,114.18,87.15,37,21,16,25,50,16,16,37,ALL_044_F_FRA_ENG_ST1.TextGrid
3.206,2.252,5.29,0.106,0.0645,0.1705,0.776,0.773,0.775,217,96.37,67.69,37,23,14,21,42,5,5,37,ALL_044_F_FRA_ENG_ST2.TextGrid
4.31,3.269,7.27,0.0275,0.0917,0.1193,0.707,0.593,0.62,109,33.34,25.29,13,3,10,16,15,2,2,13,ALL_046_F_FAR_ENG_ST1.TextGrid
4.209,2.915,6.04,0.0919,0.0772,0.1691,0.568,0.689,0.624,272,93.32,64.63,46,25,21,34,46,0,0,46,ALL_047_M_FAR_ENG_ST2.TextGrid
1.265,1.176,3.53,0.0885,0.0177,0.1062,0.562,0.56,0.562,113,96.1,89.36,12,10,2,14,33,21,21,12,ALL_074_F_CCT_ENG_ST2.TextGrid
2.781,1.944,3.23,0.1726,0.0964,0.269,0.521,0.672,0.575,197,101.33,70.85,53,34,19,27,62,9,9,53,ALL_075_F_CCT_ENG_ST1.TextGrid
1.979,1.589,4.06,0.1106,0.0452,0.1558,0.817,0.747,0.797,199,125.25,100.55,31,22,9,28,50,22,22,31,ALL_078_F_CCT_ENG_ST2.TextGrid
2.643,2.129,4.24,0.0974,0.0462,0.1436,0.586,0.743,0.636,195,91.58,73.77,28,19,9,26,47,19,19,28,ALL_087_M_CCT_ENG_ST1.TextGrid
3.665,2.354,3.44,0.1964,0.0909,0.2873,0.504,0.583,0.529,275,116.81,75.03,79,54,25,30,80,1,1,79,ALL_091_M_TUR_ENG_ST2.TextGrid
3.032,2.354,7.18,0.0668,0.0534,0.1202,0.675,0.934,0.79,524,222.61,172.82,63,35,28,62,74,12,12,63,ALL_096_F_KOR_ENG_ST2.TextGrid
2.513,1.965,5.18,0.0773,0.0725,0.1498,0.775,0.705,0.741,207,105.35,82.38,31,16,15,32,41,10,10,31,ALL_097_F_KOR_ENG_ST2.TextGrid
4.28,3.427,13.58,0.0368,0.0429,0.0798,0.673,0.778,0.73,163,47.56,38.08,13,6,7,17,13,0,0,13,ALL_098_M_GER_ENG_ST2.TextGrid
4.954,3.406,8.08,0.0309,0.0928,0.1237,0.79,0.725,0.741,97,28.48,19.58,12,3,9,16,12,0,0,12,ALL_099_M_SHS_ENG_ST1.TextGrid
3.654,2.79,7.42,0.0337,0.0787,0.1124,0.635,0.804,0.754,178,63.79,48.72,20,6,14,26,25,5,5,20,ALL_100_F_SHS_ENG_ST1.TextGrid
3.728,2.799,7.24,0.0608,0.0552,0.116,0.822,0.707,0.767,181,64.66,48.55,21,11,10,22,25,4,4,21,ALL_100_F_SHS_ENG_ST2.TextGrid
4.489,4.003,11.74,0.0179,0.0404,0.0583,0.375,0.504,0.464,223,55.71,49.68,13,4,9,26,19,6,6,13,ALL_102_M_SHS_ENG_ST2.TextGrid
4.008,2.978,8.0,0.0542,0.0625,0.1167,0.492,0.954,0.74,240,80.59,59.88,28,13,15,33,31,4,4,28,ALL_104_M_SHS_ENG_ST2.TextGrid
3.43,2.477,5.69,0.0603,0.1005,0.1608,0.548,0.787,0.698,199,80.34,58.02,32,12,20,25,36,4,4,32,ALL_112_F_KOR_ENG_ST1.TextGrid
2.857,1.874,4.1,0.1402,0.0915,0.2317,0.819,0.752,0.793,164,87.52,57.4,38,23,15,18,41,4,4,38,ALL_113_M_JPN_ENG_ST1.TextGrid
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,6,0,0,6,ALL_124_M_SHS_ENG_ST1.TextGrid
2.746,1.761,3.69,0.2458,0.0593,0.3051,0.627,0.838,0.668,118,67.02,42.97,36,29,7,13,33,4,4,36,ALL_126_M_TUR_ENG_ST1.TextGrid
3.542,1.815,6.46,0.0885,0.0487,0.1372,0.689,4.268,1.959,226,124.54,63.8,31,20,11,26,35,4,4,31,ALL_139_M_PBR_ENG_ST1.TextGrid
2.304,1.669,6.15,0.05,0.0875,0.1375,0.652,1.515,1.202,80,47.94,34.72,11,4,7,11,14,3,3,11,ALL_146_F_VIE_ENG_ST1.TextGrid
2.773,1.813,5.52,0.075,0.075,0.15,0.86,1.687,1.274,160,88.26,57.69,24,12,12,21,30,8,8,24,ALL_151_M_HEB_ENG_ST1.TextGrid
3.111,2.181,6.47,0.0894,0.0569,0.1463,0.681,1.339,0.937,246,112.8,79.07,36,22,14,36,39,5,5,36,ALL_151_M_HEB_ENG_ST2.TextGrid
