id;Sentence;Correct_classifications
454;   3204574 # The percentage of students considered proficient in English and math on state tests are now close to the statewide average;non-evaluative
119;   Gas-powered leaf blowers are noisy and bad for the environment. Boston will soon consider what to do about them. # A professional landscaper uses a leaf-blower in a;non-evaluative
355;  - crocodiles and hippos are common in the Zambezi, and they're not exactly considered friendly locals. We know we won't be able to hold any adrenalin junkies;non-evaluative
492;  , and that sex need not lead to marriage. In 1962, this was considered shocking. # The impact of The Pill was even more radical. It meant;evaluative
166;  , Anubhavangal Palichakal, Vazhvemayam and Kadalpalam. # Many of Sethumadhavan's movies are considered landmark and path-breaking. Odayil Ninnu told the story of a rickshaw puller called Pappu;non-evaluative
191;  , as you can see in some of the video clips I reference below. Consider this your warning if you're queasy with blood. Season 2, episode;non-evaluative
374;  , died seven months on from the blaze # Maria del Pilar Burton is now considered the 72nd victim of the fire, despite dying in January after experiencing a stroke;evaluative
4;  , Engr. Rabiu Kwankwaso, National Executive NEC and NWC did not consult and consider the leaders and stakeholders of the party across the state before choosing the new logo;non-evaluative
145;  , however, it may be a better idea to put it off. # Consider the fact that rents are going up steadily across the country. Over the first;non-evaluative
260;  , in the event the whistleblower omits key facts about the alleged fraud. # Consider Options for Resolving Whistleblower Claims # After reviewing the investigation findings of facts and applicable;non-evaluative
316;  , in the recent past. When monies are invested many aspects have to be considered for safety, despite the fact that rates of Interest are very attractive. #;non-evaluative
187;  , peers said. # It comes as the Nationality and Borders Bill is being considered by MPs in the Commons at report stage for a second day before a third;non-evaluative
130;  , people were working for a construction industry or housekeeping service, and they were considered an employee. So, during the time they were employed, taxes were withheld;non-evaluative
469;  , precious metals) have investment trade-offs, and silver's risks are important to consider. # 6. Government today is silver's friend: Amidst global fiscal excess;non-evaluative
485;  , really good, but if you're not ready to spend the money, consider the free alternative, Pastefire (homepage). It's not quite as good;evaluative
281;  , Sean Conley, the president's physician, said Mr. Trump was no longer considered a transmission risk to others but didn't say whether Mr. Trump continues to test;non-evaluative
3;  , there should be no more gathering here or anywhere. Any of such is considered illegal and unlawful since it has been called off and if any of such gathering;evaluative
146;  , too. # For now, with enough complete, it seems time to consider the way the deals that have been completed have changed the NBA power structure,;non-evaluative
436;  , with over 70 per cent of its revenue coming from exports. # When considering exports, many entrepreneurs get worried about different cultures, languages and business practice.;evaluative
320;  , with Uruguay, Ecuador, Japan and reigning champions Chile. Uruguay can be considered second-favourites after Brazil. Statistically, they were the best South American team at the;non-evaluative
389;  : Israel's defence capabilities # Despite of its geographically small size, Israel is considered to be a military superpower. Israel's indigenous military technology is considered high quality;non-evaluative
104;  ? irc U? Chaoimh date with world champion Springboks # GAA Central Council to consider request from Cork GAA on Saturday. # TIME TO SHINE: Cork GAA has;non-evaluative
441;  . # And as these videos show, the magistrates are almost always unwilling to consider lowering someone's bail or providing a personal bond if they ask -- and,;evaluative
152;  . # And in rural Cochise County, supervisors planned to meet later Wednesday to consider appealing a court ruling that had blocked a full hand-count. # A day before;evaluative
192;  . # As we start a new trading week there are a few things to consider. Firstly, what does the Fed think about the sharp rise in Treasury yields;non-evaluative
340;  . # He contends that the board has failed to adequately assess his case and consider the systemic and background factors of racism and colonialism that impact Nickerson as an Indigenous;evaluative
139;  . Another $11 billion is set aside for R&D, with $2 billion for projects considered important by the Pentagon. # Intel alone hopes to secure $12 billion of the;non-evaluative
307;  . It comes from being you, which sometimes first requires finding yourself. # Consider making a to-do list. A to-do list is very useful for making sure you;non-evaluative
368;  . New York was ranked as the most influential city today, but it's considered only the second most important city of the future. # Mario Tama / Getty;non-evaluative
346;  . Once part of the ancient Greek city of Akragas, the structures are now considered a UNESCO World Heritage Site. All can be seen on a tour, but;non-evaluative
180;  . Peru's concerns follow confusion over the US Federal Aviation Administration's right to consider foreign domestic issues under its safety assessment programme.... # Qantas and British Airways;non-evaluative
155;  . Please review our current Faith Groups list for information on which faith groups are considered to be Christian faiths. Christian members please remember to read the Statement of Purpose;evaluative
121;  . The 60-day meeting of the Legislature began hashing out the state budget, and consider sweeping proposals on education, medicare, and policing last month. # Cedar Attanasio;non-evaluative
287;  . While a ball change might possibly help your score, there are things to consider. First question: What shot is preventing you from shooting in the low 70s;non-evaluative
156;  ... I say - - people can have their motives for what they consider to be evidence and how they interpret things they discover. # I think of;evaluative
168;  're looking for opportunities that will improve this aspect of your life, should seriously consider getting a diploma in supply chain management. Supply Chain and Logistics are two very;evaluative
404;  's 42 games. # His quick transition is all the more impressive when you consider that it was an era of English football when foreigners were still relatively scarce.;non-evaluative
25;  's a wealth of knowledge to be gained from past errors and emotional trends. Consider jotting down your emotions and discussing them, which can provide you with more clarity;non-evaluative
378;  ) -- have launched Take Five to Stop Fraud which urges people to stop and consider whether the situation is genuine: to stop and think if what they are being;evaluative
66;  ) # Let's be honest, if you have a pet, you probably consider them to be your fur baby, right? # So it would only stand;non-evaluative
452;  # As recently as five years ago, buying a record-pressing facility might have been considered a dreadful investment unless you also had a time machine to go with it.;evaluative
5;  # Foreign Office Spokesperson Mumtaz Zahra Baloch while addressing weekly press briefing said that Pakistan considers the act of the Acting Afghan Consul General as reprehensible, saying this has hurt;evaluative
205;  # If you don't like the taste of CBD oil under your tongue, consider mixing it into food or drinks, although this may affect absorption rates. #;non-evaluative
13;  # Mamata Banerjee was addressing Khorbona, a place close to Mukutmanipur, the region considered as the home of tribes like Santal, Bhumij, Sardar and Munda. #;evaluative
489;  # New Deal, Fair Deal # Not unlike Obama, the first president to consider pushing a national health care plan governed at a time of economic uncertainty: Franklin;non-evaluative
432;  # RAY LEONARD # Blessington, # Co Wicklow. # Sir, -- I consider it somehow deliciously Irish that the anti-austerity movement in their campaign against water charges are;non-evaluative
277;  # Screening of pregnant women for HIV is standard of care in most countries and considered to be a cost-effective strategy for reducing the risk of transmission to the baby.Women are;evaluative
144;  # So if you don't overdo it on the last day of 2022, consider going to Northampton's Academy of Music on Jan. 2 at 3 p.m. to hear;non-evaluative
219;  # Story # 0 out of 5 stars 0 # Laugh, cry, and consider the possibilities with Jill as she deals with autism, epilepsy, Alzheimer's,;non-evaluative
297;  # The chief executive of the committee, Toshiro Muto, has said it would consider cutting back the relay to limit the spread of the coronavirus, but no details;evaluative
383;  # The club shared a clip of the goal on Twitter, urging FIFA to consider Scarpa's strike for this year's Puskas Award, which is given to the;non-evaluative
198;  2022 Eligible # This draft position feels like the floor for Rattler, who many consider to be the pre-season frontrunner to win the 2021 Heisman. Rattler was a highly;evaluative
48;  2023, 06:45 PM # Rambagh Palace, Jaipur, India # Asia is often considered the most diverse continent in the world. From winter escapades to tropical retreats,;evaluative
67;  25 cm, with the possibility of up to 35 cm over localized areas. Consider postponing non-essential travel until conditions improve. Visibility may be suddenly reduced at times in;evaluative
274;  6,521 U.S. workers # This financial services firm, based in Monett, Mo., considered its flexible work arrangements as a major benefit even pre-pandemic. Workers can telecommute or;evaluative
444;  700,000,000 labour force and a total of 5,000 aircraft. # Russia Russia was once considered to be the most powerful army in the world. The country has over eight;evaluative
224;  76%of retail investor accounts lose money when trading CFDs with this provider. You should consider whether you understand how CFDs work, and whether you can afford to take the;evaluative
299;  a 0.212 blood alcohol level when she was arrested. A driver in Michigan is considered legally intoxicated with a blood alcohol level of 0.08. # ARSON: Battle Creek;non-evaluative
222;  a bike accident and they flew him abroad, why: Because Buhari and Aisha considered their son's life valuable. So also must they consider the life of even;non-evaluative
391;  a healthy debate. We want our readers to be responsible while commenting and to consider how their views could be received by others. Please be polite and do not;evaluative
420;  a healthy debate. We want our readers to be responsible while commenting and to consider how their views could be received by others. Please be polite and do not;evaluative
385;  a matter of urgency, and we today recommend that the KZN Health Department urgently considers: # - A special committee must be established in KZN to oversee the findings;evaluative
263;  a morally impoverished society, but nonetheless happy in every other respect? Do we consider the question of poverty in relation to the ideals set by a commodified society,;non-evaluative
357;  a participatory and engaging narrative in which she picked up people from the audience to consider the case of Madam Wachu, a good Gikuyu woman who dared to question the;non-evaluative
284;  a while versus a relatively new patient or specific pharmacy dynamics that we should be considering on this sort of quarter-over-quarter decline you saw on refills? Thanks so much.;evaluative
164;  accounts lose money when spread betting and/or trading CFDs with this provider. You should consider whether you can afford to take the high risk of losing your money. #;non-evaluative
165;  accounts lose money when spread betting and/or trading CFDs with this provider. You should consider whether you understand how spread bets and CFDs work and whether you can afford to;non-evaluative
382;  action and triumph of due process and rule of law. # With the well considered judgement of the Court of Appeal, Abuja Division on the matter, it is;non-evaluative
276;  add in the specifics to narrow down your options. Both things need to be considered when you're looking for a new career. # Can you afford to make;non-evaluative
338;  added that it's not just the cutting tools themselves that an operator needs to consider. Having a rigid setup with the cutting tool fully inserted into the toolholder to;non-evaluative
78;  advisor who can help you achieve your financial goals, get started now. # Consider a few advisors before settling on one. It's important to make sure you;non-evaluative
414;  Affairs Research at the University of Nebraska at Omaha. # The percentage of Nebraskans considered poor and near-poor fell in 2015, to 16.6 percent of Nebraskans having incomes under;evaluative
325;  Africa was the 6th riskiest country, according to Gallup respondents. And when you consider South Africa has one of the highest homicide rates in the world (30 deaths;non-evaluative
109;  agreement over a new contract with Bukayo Saka, reports Fabrizio Romano. The Gunners consider a new deal for the 21-year-old winger a top priority, and talks that have;evaluative
309;  allowed and councillors can not stand up for points of order. A quorum is considered only when a resolution has to be taken at the end of the proceedings,;evaluative
267;  always so frustrating to see someone come this far and then give up, especially considering all the other players who fought tooth and nail to get to the final and;non-evaluative
399;  analysts interpreted as a move to do a share buyback. Infosys is expected to consider a buyback of up to $2.5 billion.;non-evaluative
283;  and 4 years depending on site-specific engineering considerations and on the number of installations being considered. In prior actions, EPA has noted 39-48 months as appropriate for regionwide actions;non-evaluative
245;  and can theoretically be done from anywhere in the world. But what should you consider when planning and hiring for roles that will be based remotely 100pc of the time;evaluative
217;  and commanded the Theban women to cease their worship of her, explaining that she considered herself far superior to Leto, who had but two children, while she had;evaluative
429;  and in writing. # The ministry's official response is that it was not considering a judicial review'' at this stage''. # Ministry infrastructure manager;evaluative
449;  and information and privacy adjudicator, a standing committee of the legislature must consider and recommend an appointee within six months of a vacancy. The lobbyist registrar must;non-evaluative
232;  and met death while treating patients at private hospitals. Yet, they were not considered for compensation, just because they served the people from the other side of the;evaluative
74;  and remain on the sidelines for a steep pullback to digest its recent optimism before considering adding exposure. # Rating: Hold. Please note that a Hold rating is;evaluative
24;  And while the spotlight is understandably on consumers, it's important business leaders also consider another critical stakeholder -- their employees. # When someone uncovers, reads about,;non-evaluative
302;  answered trade offers for Adams, but put the price so high that he was considered virtually untouchable. # Really, to a certain point, you understand Adams';evaluative
11;  any translation-related ambiguity between the Hindi and English versions, the English version shall be considered definitive. NIFT 2024 admit card: How to download # The steps below;evaluative
373;  are rarely considered VIP clientele, which is why The Luxury Student is such a fascinating business concept;non-evaluative
176;  are still finding it difficult to fill job openings. # With hospitality roles often considered irregular work at unusual hours at the best of times, the added impact of;non-evaluative
208;  as well as for you. Before deciding to trade foreign exchange you should carefully consider your investment objectives, level of experience and risk appetite. The possibility exists that;non-evaluative
93;  attacks on minorities, especially Muslims. # Several Indian states have passed or are considering anti-conversion laws that challenge the constitutionally protected right to freedom of belief. In 2019;non-evaluative
136;  Automatic Rifle: The British were quite impressed with the BAR, and they strongly considered the weapon (in.303) until 1930, when they decided to move forward;non-evaluative
179;  BANNED from Premiership matches. # Wasps, whose supporters group asked the club to consider out-lawing the caricature headdresses, are looking into the issues. # 2 # Luke;non-evaluative
7;  based on the multilateral Global South. Therefore, supporting business activity and enterprise is considered a priority for leaders of all BRICS countries. # As always with much fortitude;evaluative
97;  be given due weightage, when the cases of Judicial Officers for transfer are being considered. (Para 41) Ms. X v. Registrar General, 2022 LiveLaw (SC;evaluative
369;  be having a decent-sized wager on the six-year-old this afternoon. # At Beverley, consider backing the old veteran Take Cover, which was trading at 11/4 yesterday evening for;non-evaluative
335;  be one of those things that an actor who is serious about their art must consider a huge bummer. I can't imagine how exhausting, draining, and annoying;evaluative
352;  because of criminal pasts, are already prohibited from possessing firearms by existing statutes. Consider the case of Baltimore, where, according to the Baltimore Sun, 85 percent;evaluative
394;  been assessing the ranks of the institutes at the global level since 2004. It considers academic performance, teaching methods, research works, international outlook, industry income and;evaluative
125;  between him and DeSantis. # DeSantis, a former U.S. congressman, is widely considered a top Republican contender to run for the White House one day. The governor;non-evaluative
433;  bike for approximately the same amount of money. It took me many years to consider trying a women's specific bike. Last year I had two. One for;non-evaluative
84;  billion for domestic disaster relief. # Advertisement # The House, if it does consider legislation for a temporary extension, would cut spending by 8 percent for all federal;non-evaluative
185;  blocker. If you like road.cc, but you don't like ads, please consider subscribing to the site to support us directly. As a subscriber you can read;evaluative
430;  born in Malaysia but his family moved to Northbridge when he was young and he considers himself a north shore local, hence the decision to open in neighbouring Castlecrag.;non-evaluative
332;  both of which countries in common with Scotland lack apex predators, into consideration whilst considering the future status of our newly re-introduced species. # I, for one,;evaluative
124;  business leaders keen on finding investors. # The Los Angeles Board of Supervisors is considering a motion today that would clamp down on illegal street vendors. The motion,;non-evaluative
214;  but that night are released without being charged. Investigators announce they are no longer considered suspects but do not say why. # Feb. 16: The police say they;evaluative
257;  but the court will not order disclosure unless satisfied that there are reasonable grounds to consider the expert's statement of instructions (as contained in the expert report) to;non-evaluative
462;  bylaw enforcement agencies, there remains the possibility of civil action before the incident is considered fully resolved.;non-evaluative
348;  Candidates for office at any level of government, and from any party, should consider universal broadband access a policy priority. On its surface, broadband access can seem;non-evaluative
46;  capitalize on the unacknowledged grandchild, a person familiar with the discussions said. They considered a response and decided then that they would say Biden had only six grandchildren and;non-evaluative
403;  care of their half of that equation by no means seemed like a given, considering how poorly they had played against Los Angeles. # But sneaking into the playoffs;evaluative
415;  CBN had continued to sell dollars daily on the interbank market, its efforts were considered weak and inadequate, Reuters reported. # Copyright PUNCH. All rights reserved.;evaluative
312;  Chicago, to an NFC North title and their first playoff berth since 2010. Consider: Mack's 12.5 sacks were nearly as many as the 13 the Raiders had;non-evaluative
261;  companies to reassess over recent months, reflecting on whether past actions may have been considered racially insensitive and making moves to address them. # Disney is one of these;evaluative
238;  convolution enhances the cooperation of agents by allowing the policy to be optimised by jointly considering agents in the receptive field and promoting mutual help. 2 Measuring the Reliability;non-evaluative
289;  course, many workers have managed to retain their jobs, whether because they're considered essential or because they've been able to shift to a remote setup. If;non-evaluative
381;  credence to the positivist argument that Sociology should and ought to value free since it considers the origins of unemployment as a part of the social structure, hence unemployment becomes;non-evaluative
342;  criminal and civil cases. # Pennsylvania may become something of a bellwether as it considers these questions this month. In 2016, the state house passed a bill with;non-evaluative
17;  cruising altitude, even in young and healthy adults. Anything lower than that is considered hypobaric hypoxia, or low blood oxygen levels at high altitude. Alcohol is already;evaluative
422;  darker pages such as the mass deportations and massacres of Armenians from 1915 that Yerevan considers genocide. # But Erdogan, whose politics mixes political Islam with a growing streak;non-evaluative
428;  Delhi court to consider chargesheet against Pachauri today # A court in New Delhi will consider filing a charge-sheet today against environmentalist R.K. Pachauri who is embroiled in charges of sexually;evaluative
117;  deploy the district guard. Instead, crucial time was lost while the request was considered inside the Pentagon, and protesters rampaged through the building. # A coalition of;evaluative
251;  developers within a holding pattern, learning towards familiarity over innovation. I've always considered Assassin's Creed controls like vehicle handling: it lacks the precision some people want;evaluative
33;  diagram is divided from all of the experts (green nodes). Let's consider the case in which the experts are metallurgists who can tell the difference between real;non-evaluative
328;  Digital, Culture, Media and Sport (DCMS) said the Gambling Commission could consider payment providers as part of its review of gambling on credit cards, writes today;non-evaluative
250;  disruption further adds to this uncertainty # The Group has financial resources which the Directors consider are insufficient to fund the Group's committed expenditures and thus acknowledge that additional funding;evaluative
266;  Dividends? # As well as measuring the share price return, investors should also consider the total shareholder return (TSR). Whereas the share price return only reflects;non-evaluative
471;  double major, who was also in the College Honors Program, asked graduates to consider the series of challenges it took them to get to this point, and preserve;non-evaluative
298;  Doug Foster. # Foster is considered the suspect in this case, and is considered armed and dangerous. # Do no approach him or the suspect vehicle, call;non-evaluative
110;  draws near! Command? Nadia and Kat look back on a turbulent year and consider everything that's happened: game delays caused by COVID-19, Microsoft's Bethesda acquisition;evaluative
264;  economic slumps -- something Finance Minister Bill Morneau has signalled the Liberals are willing to consider. # Get the latest in your inbox # Never miss the latest news from;evaluative
6;  effective retirement strategy. In addition to saving in a pension scheme, you should consider other investments such as government bonds and money market funds. Money market funds,;non-evaluative
292;  effort to pressure Ukraine to investigate his political rivals and are pushing the Senate to consider new documents and testimony. Online Public Information File # Viewers with disabilities can;evaluative
45;  Enterprise (CPPE), has suggested that the Nigerian National Petroleum Company Limited(NNPCL), considers a direct intervention measures by adjusting its petrol pump price as the rise in the;non-evaluative
29;  every twist and turn. America's future hangs in the balance. Would you consider contributing to support our journalism and keep it free for all during this critical season;non-evaluative
86;  example, contact through the helpdesk or chat room. Often, the poker room considers your actions as a transfer of chips between members. Can you play with;non-evaluative
392;  exclusively the art of keeping time for women -- rightly so and quite timely, considering women now make up the fastest-growing and yet still largely-untapped pool of serious consumers in;non-evaluative
419;  expand its gasoline hybrid technology development, the world's largest automaker said it would consider selling complete powertrain modules - engines, transmissions and other drive components - to its;non-evaluative
122;  Factor In Required Resources # When prioritizing technology projects, the most important thing I consider is how each project impacts business objectives or presents a risk to the organization if;non-evaluative
247;  failures is one of the biggest and most daunting challenges to face. # I consider myself very lucky to be working with extremely supportive supervisors, who clearly have in;non-evaluative
23;  flagshit show, which is also helmed by Strictly host Claudia Winkleman, producers are considering runner-up Mollie Pearce and winner Harry Clark. # It comes after bosses reportedly approached;non-evaluative
345;  flow. Talk to a health coaches to know more about what supplements you should consider. # (Ms. Preety Tyagi is a Nutritionist and founder of MY22BMI) #;non-evaluative
12;  following an assessment which may take about 1-2 months. # Aurobindo said it may consider the option of doing site transfer of certain key products from Unit-3 to the new;non-evaluative
293;  for a second before the snap. A receiver who fits this exception is not considered to be in motion. # It is a false start if all 11 offensive;non-evaluative
225;  for failing to meet those goals. # The STP set a high bar, considering how low the base of genuine transformation had been to that point. Despite initial;non-evaluative
487;  for over 22,000 bounced and led to problems with my bank that are currently being considered by the Banking Ombudsman. I have tried to contact by email several UK bodies;evaluative
290;  for this trip. Meta # Do you value your experience at TMC? Consider becoming a Supporting Member of Tesla Motors Club. As a thank you for your;non-evaluative
397;  for three years, said he. # Among the functions, the Committee would consider the case as deemed fit in the circumstances of the case and would forward the;non-evaluative
343;  fragile child in the state. However, there are 300 children in the state considered medically intensive enrolled in a Medicaid fee-for-service or managed care plan. # When Weeping;non-evaluative
484;  from a sideline business or trade as a sole proprietor. # You are also considered a provisional taxpayer if you receive taxable income from property rental, interest or dividends;non-evaluative
16;  GoM is expected to submit its report by October, allowing the GST Council to consider the findings at its November meeting. # The GoM will be led by Bihar;non-evaluative
98;  government over several deaths due to spurious liquor in Saran district and asked him to consider rolling back the liquor prohibition. # At least five people died after consuming the;non-evaluative
153;  group brings joy. Credit: Shutterstock # Digital programming and virtual interactions, initially considered to be stop-gap measures during the first few waves of the pandemic, may now;non-evaluative
439;  grow at a double digit growth rate between 2016 and 2022. The base year considered for the study is 2015 and the forecast for the market size is provided for;evaluative
106;  hard to bring in the Wales international. Forest are said to be willing to consider an offer of? 18m. 43891306 # Get a;non-evaluative
364;  has a house in their name and this is the first house. If we consider the combined household income of Rs 11.50 lakh, you will fall under the category;non-evaluative
400;  has been opposed by many. SC member Pankaj Garg said the proposal was being considered due to the delay in the admission process, but it should be approved by;non-evaluative
131;  have a small family but like to entertain guests, you may still want to consider a larger size to accommodate that. And if you live in a smaller home;evaluative
160;  have so recently provided ammunition to the establishment designed to dismember Christmas. Let us consider some truths about Jesus Christ. # Jesus Christ was no bandit and he did;non-evaluative
265;  He was one of those people who is lit from inside, but who never considered himself too special. Matt was always one of those friends you sort of wish;non-evaluative
450;  he's interested, but Stanley Cup-winners Joel Quenneville and Darryl Sutter have to be considered. # Team Canada general manager Doug Armstrong also mentioned Alain Vigneault as someone who;non-evaluative
